: 1438676765:0;ls Downloads
: 1438676776:0;ll Do
: 1438676780:0;ll Applications
: 1438676784:0;ls Music
: 1438676800:0;ls Desktop
: 1438676804:0;ll /
: 1438676831:0;ls /
: 1438676836:0;ll Downloads
: 1438677085:0;mkdir Coding
: 1438677104:0;easy_install install pip
: 1438677112:0;sudo easy_install pip
: 1438677178:0;sudo easy_install pip -i http://pypi.douban.com/simple/
: 1438677358:0;cd /Users/JackeyGao/Downloads/pip-7.1.0/
: 1438677366:0;sudo python setup.py install
: 1438677397:0;ll /usr/local/bin/pip
: 1438677434:0;chmod +x /usr/local/bin/ 
: 1438677439:0;sudo chmod +x /usr/local/bin/ 
: 1438677442:0;ls /usr/local/bin/
: 1438677445:0;ls -d /usr/local/bin/
: 1438677571:0;curl -kLso /tmp/get-pip.py https://bootstrap.pypa.io/get-pip.py 
: 1438677610:0;sudo chmod +x /usr/local/bin/pip
: 1438677620:0;ls -al /usr/local/bin/pip
: 1438677622:0;sudo ls -al /usr/local/bin/pip
: 1438677641:0;sudo chmod 644 /usr/local/bin/pip
: 1438677668:0;sudo chmod 755 /usr/local/bin/pip
: 1438677685:0;sudo chmod 755 -R /usr/local/bin/
: 1438677691:0;sudo chmod -R 755 /usr/local/bin/
: 1438677698:0;sudo ls -al /usr/local/bin/
: 1438677706:0;sudo ls -ld /usr/local/bin/
: 1438677751:0;/usr/local/bin/pip
: 1438677832:0;sudo chmod 755 /usr/local
: 1438677837:0;pipestatus
: 1438677841:0;which pip
: 1438677854:0;ruby -e "$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/master/install)"
: 1438677900:0;vim /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/pkg_resources.py
: 1438678559:0;sudo chmod -R ugo+rX /usr/local/lib/python2.7/site-packages
: 1438678687:0;mkdir .pip
: 1438678720:0;vim .pip/pip.conf
: 1438678728:0;sudo pip install virtualenvwrapper
: 1438678763:0;ls /usr/local/bin/virtualenvwrapper.sh
: 1438678765:0;cat /usr/local/bin/virtualenvwrapper.sh
: 1438678769:0;vim /usr/local/bin/virtualenvwrapper.sh
: 1438678772:0;source /usr/local/bin/virtualenvwrapper.sh
: 1438678981:0;ls /usr/share/vim/vim73/colors
: 1438679003:0;mkdir .vim
: 1438679006:0;cd .vim
: 1438679112:0;vim .vimrc
: 1438679193:0;git clone git://github.com/altercation/solarized.git
: 1438679216:0;brew help
: 1438679412:0;vim aa
: 1438679430:0;cat aa > solarized.vim
: 1438679431:0;vim solarized.vim
: 1438679464:0;mkdir ~/.vim/colors
: 1438679469:0;mv solarized.vim ~/.vim/colors/
: 1438679527:0;vim aa.py
: 1438679648:0;rm -fr solarized
: 1438679660:0;cd Desktop
: 1438679695:0;brew install proxychains
: 1438680333:0;git clone https://github.com/haad/proxychains
: 1438680488:0;cd proxychains
: 1438680555:0;make && make install
: 1438680567:0;proxychain4
: 1438680597:0;ls //usr/local/bin/ppp
: 1438680604:0;ls /usr/local/bin/proxychains4
: 1438680681:0;cat README
: 1438680706:0;mkdir ~/.proxychains
: 1438680815:0;export PROXYCHAINS_SOCKS5="socks5 localhost 1080"
: 1438680830:0;proproxychains telnet targethost.com
: 1438680831:0;proxychains telnet targethost.com
: 1438680876:0;proxychains4 telnet targethost.com
: 1438680894:0;proxychains4 wget github.com
: 1438680900:0;proxychains4 curl github.com
: 1438681145:0;rm -fr /usr/local/bin//proxychains4
: 1438681165:0;brew uninstall proxychains-ng
: 1438681168:0;brew install proxychains-ng
: 1438681188:0;proxychains
: 1438681201:0;which proxychains
: 1438681220:0;ls /usr/local/bin/brew link --overwrite proxychains-ng
: 1438681225:0;/usr/local/bin/brew link --overwrite proxychains-ng
: 1438681231:0;which proxychains4
: 1438681246:0;vim /usr/local/etc/proxychains.conf
: 1438681275:0;proxychains4 proxychains4 curl twitter.com
: 1438681281:0;vim /Users/JackeyGao/.proxychains/proxychains.conf
: 1438681318:0;rm -fr /Users/JackeyGao/.proxychains/proxychains.conf
: 1438681340:0;cp /usr/local/etc/proxychains.conf ~/.proxychains
: 1438681341:0;proxychains4 curl twitter.com
: 1438681347:0;proxychains4 curl facebook.com
: 1438681354:0;curl facebook.com
: 1438693012:0;virtualenvwrapper
: 1438693493:0;xcode-select --install
: 1438693558:0;ping 1
: 1438694014:0;brew install python
: 1438694399:0;proxychains4 brew install python
: 1438694668:0;python2.7
: 1438694684:0;/usr/local/Cellar/python/2.7.10_2/bin/python
: 1438694750:0;pip --help
: 1438694763:0;pip2.7 list
: 1438694771:0;pip2
: 1438694774:0;pip2 list
: 1438694785:0;/usr/local/Cellar/python/bin/pip
: 1438694794:0;/usr/local/Cellar/python/2.7.10_2/bin/pip
: 1438694796:0;/usr/local/Cellar/python/2.7.10_2/bin/pip list
: 1438694852:0;pip 
: 1438694863:0;pip wheel
: 1438694900:0;easy_install uninstall pip
: 1438694929:0;easy_install --help
: 1438694949:0;rm -fr /usr/local/bin/pip
: 1438694952:0;rm -fr /usr/local/bin/pip2
: 1438694954:0;rm -fr /usr/local/bin/pip2.7
: 1438694956:0;pip
: 1438695026:0;rm -fr /Library/Python/2.7/site-packages/virtualenv
: 1438695033:0;rm -fr /Library/Python/2.7/site-packages/virtualenv-13.1.0.dist-info
: 1438695038:0;sudo rm -fr /Library/Python/2.7/site-packages/virtualenv-13.1.0.dist-info
: 1438695053:0;sudo rm -fr /Library/Python/2.7/site-packages/virtualenv*
